iter,best,elapsed,group_1,group_2
1,0.4738568593749909,0.9089569169991591,21.0,16.0
2,0.45563905352568324,,9.0,13.0
3,0.45563905352568324,,12.0,7.0
4,0.45563905352568324,,26.0,3.0
5,0.45563905352568324,,18.0,0.0
6,0.4528416075356052,,10.0,20.0
7,0.4528416075356052,,15.0,27.0
8,0.4528416075356052,,23.0,4.0
9,0.4528416075356052,,24.0,6.0
10,0.4528416075356052,,11.0,2.0
11,0.4528416075356052,,5.0,17.0
12,0.4528416075356052,,1.0,14.0
13,0.45175617109189736,,22.0,29.0
14,0.45175617109189736,,25.0,19.0
15,0.45175617109189736,,8.0,28.0
16,0.45175617109189736,,,
17,0.45175617109189736,,,
18,0.44978569638765975,,,
19,0.44978569638765975,,,
20,0.44978569638765975,,,
21,0.44978569638765975,,,
22,0.44918778396877335,,,
23,0.44765304758336527,,,
24,0.44765304758336527,,,
25,0.44765304758336527,,,
26,0.4443287523340801,,,
27,0.4443287523340801,,,
28,0.4438173249976239,,,
29,0.4438173249976239,,,
30,0.4438173249976239,,,
31,0.44381732499762383,,,
32,0.44381732499762383,,,
33,0.44381732499762383,,,
34,0.44381732499762383,,,
35,0.44381732499762383,,,
36,0.44381732499762383,,,
37,0.44381732499762383,,,
38,0.44381732499762383,,,
39,0.44381732499762383,,,
40,0.44381732499762383,,,
41,0.44381732499762383,,,
42,0.44381732499762383,,,
43,0.44381732499762383,,,
44,0.44381732499762383,,,
45,0.44381732499762383,,,
46,0.44381732499762383,,,
47,0.44381732499762383,,,
48,0.44381732499762383,,,
49,0.44381732499762383,,,
50,0.44381732499762383,,,
51,0.44381732499762383,,,
52,0.44381732499762383,,,
53,0.44381732499762383,,,
54,0.44381732499762383,,,
55,0.44381732499762383,,,
56,0.44381732499762383,,,
57,0.44381732499762383,,,
58,0.44381732499762383,,,
59,0.44381732499762383,,,
60,0.44381732499762383,,,
61,0.44381732499762383,,,
62,0.44381732499762383,,,
63,0.44381732499762383,,,
64,0.44381732499762383,,,
65,0.44381732499762383,,,
66,0.44381732499762383,,,
67,0.44381732499762383,,,
68,0.44381732499762383,,,
69,0.44381732499762383,,,
70,0.44381732499762383,,,
71,0.44381732499762383,,,
72,0.44381732499762383,,,
73,0.44381732499762383,,,
74,0.44381732499762383,,,
75,0.44381732499762383,,,
76,0.44381732499762383,,,
77,0.44381732499762383,,,
78,0.44381732499762383,,,
79,0.44381732499762383,,,
80,0.44381732499762383,,,
81,0.44381732499762383,,,
82,0.44381732499762383,,,
83,0.44381732499762383,,,
84,0.44381732499762383,,,
85,0.44381732499762383,,,
86,0.44381732499762383,,,
87,0.44381732499762383,,,
88,0.44381732499762383,,,
89,0.44381732499762383,,,
90,0.44381732499762383,,,
91,0.44381732499762383,,,
92,0.44381732499762383,,,
93,0.44381732499762383,,,
94,0.44381732499762383,,,
95,0.44381732499762383,,,
96,0.44381732499762383,,,
97,0.44381732499762383,,,
98,0.44381732499762383,,,
99,0.44381732499762383,,,
100,0.44381732499762383,,,
101,0.44381732499762383,,,
102,0.44381732499762383,,,
103,0.44381732499762383,,,
104,0.44381732499762383,,,
105,0.44381732499762383,,,
106,0.44381732499762383,,,
107,0.44381732499762383,,,
108,0.44381732499762383,,,
109,0.44381732499762383,,,
110,0.44381732499762383,,,
111,0.44381732499762383,,,
112,0.44381732499762383,,,
113,0.44381732499762383,,,
114,0.44381732499762383,,,
115,0.44381732499762383,,,
116,0.44381732499762383,,,
117,0.44381732499762383,,,
118,0.44381732499762383,,,
119,0.44381732499762383,,,
120,0.44381732499762383,,,
121,0.44381732499762383,,,
122,0.44381732499762383,,,
123,0.44381732499762383,,,
124,0.44381732499762383,,,
125,0.44381732499762383,,,
126,0.44381732499762383,,,
127,0.44381732499762383,,,
128,0.44381732499762383,,,
129,0.44381732499762383,,,
130,0.44381732499762383,,,
131,0.44381732499762383,,,
132,0.44381732499762383,,,
133,0.44381732499762383,,,
134,0.44381732499762383,,,
135,0.44381732499762383,,,
136,0.44381732499762383,,,
137,0.44381732499762383,,,
138,0.44381732499762383,,,
139,0.44381732499762383,,,
140,0.44381732499762383,,,
141,0.44381732499762383,,,
142,0.44381732499762383,,,
143,0.44381732499762383,,,
144,0.44381732499762383,,,
145,0.44381732499762383,,,
146,0.44381732499762383,,,
147,0.44381732499762383,,,
148,0.44381732499762383,,,
149,0.44381732499762383,,,
150,0.44381732499762383,,,
151,0.44381732499762383,,,
152,0.44381732499762383,,,
153,0.44381732499762383,,,
154,0.44381732499762383,,,
155,0.44381732499762383,,,
156,0.44381732499762383,,,
157,0.44381732499762383,,,
158,0.44381732499762383,,,
159,0.44381732499762383,,,
160,0.44381732499762383,,,
161,0.44381732499762383,,,
162,0.44381732499762383,,,
163,0.44381732499762383,,,
164,0.44381732499762383,,,
165,0.44381732499762383,,,
166,0.44381732499762383,,,
167,0.44381732499762383,,,
168,0.44381732499762383,,,
169,0.44381732499762383,,,
170,0.44381732499762383,,,
171,0.44381732499762383,,,
172,0.44381732499762383,,,
173,0.44381732499762383,,,
174,0.44381732499762383,,,
175,0.44381732499762383,,,
176,0.44381732499762383,,,
177,0.44381732499762383,,,
178,0.44381732499762383,,,
179,0.44381732499762383,,,
180,0.44381732499762383,,,
181,0.44381732499762383,,,
182,0.44381732499762383,,,
183,0.44381732499762383,,,
184,0.44381732499762383,,,
185,0.44381732499762383,,,
186,0.44381732499762383,,,
187,0.44381732499762383,,,
188,0.44381732499762383,,,
189,0.44381732499762383,,,
190,0.44381732499762383,,,
191,0.44381732499762383,,,
192,0.44381732499762383,,,
193,0.44381732499762383,,,
194,0.44381732499762383,,,
195,0.44381732499762383,,,
196,0.44381732499762383,,,
197,0.44381732499762383,,,
198,0.44381732499762383,,,
199,0.44381732499762383,,,
200,0.44381732499762383,,,
