k,H_20_obs_3,H_20_obs_4,H_20_obs_5,H_30_obs_3,H_30_obs_4,H_30_obs_5,H_40_obs_3,H_40_obs_4,H_40_obs_5,H_50_obs_3,H_50_obs_4,H_50_obs_5
1,0.4864064241679858,0.4798022702506556,0.8495998335802253,0.2442248058418933,0.2900685902137276,0.3637885450054077,0.1843747190437417,0.221014949766783,0.2864935337669753,0.1238504637372454,0.1701142507867503,0.2274754951375516
2,0.3635360390188039,0.5041082218665044,0.7019879812586169,0.2299232302499086,0.2832608210070501,0.399596744507658,0.1518312377214492,0.2361117879352574,0.2924855649947002,0.1309450921868478,0.1688448689457423,0.2252231092886955
3,0.4044196695083014,0.7529521135107446,0.648869244685141,0.2130486664212827,0.4066001753026489,0.4438173249976238,0.1838686752041409,0.245944293090925,0.3499590850202908,0.1495202229634939,0.1907352263940292,0.2270380501786732
4,0.3806763784460252,0.4575064102948598,0.796334318872658,0.2368507812082948,0.3340581321713337,0.3845613412120137,0.1774224113947454,0.2380076721412641,0.275664085521947,0.1216442291089252,0.1734406352129756,0.2237831143090009
5,0.3490943768330887,0.5952161429341962,0.9436904256778966,0.2198640115413772,0.2876066253118867,0.5048120102727046,0.1624634630349682,0.2340757849743473,0.2801992888507487,0.1517225636875332,0.1714550147211051,0.2393087959589237
AVERAGE,0.396826577594841,0.5579170317713922,0.7880963608149075,0.22878229905255135,0.32031886880132937,0.41931519319908156,0.17199210127980907,0.23503089758171533,0.2969603116309324,0.1355365143368091,0.1749179992121205,0.22856571297456899
