iter,best,elapsed,group_1,group_2,group_3,group_4
1,0.12399122743262188,2.7351805420003075,26.0,17.0,46.0,25.0
2,0.12399122743262188,,20.0,68.0,116.0,35.0
3,0.12399122743262188,,95.0,39.0,79.0,112.0
4,0.12351902801507925,,93.0,41.0,6.0,111.0
5,0.1218867938287505,,89.0,63.0,80.0,22.0
6,0.1218867938287505,,49.0,58.0,113.0,99.0
7,0.1218867938287505,,67.0,21.0,77.0,15.0
8,0.1218867938287505,,104.0,76.0,100.0,27.0
9,0.1218867938287505,,9.0,28.0,117.0,14.0
10,0.1218867938287505,,84.0,88.0,96.0,108.0
11,0.1218867938287505,,91.0,86.0,29.0,31.0
12,0.1218867938287505,,107.0,40.0,7.0,13.0
13,0.12184920736463833,,110.0,56.0,78.0,66.0
14,0.12184920736463833,,64.0,87.0,51.0,52.0
15,0.12184920736463833,,92.0,55.0,30.0,54.0
16,0.12184920736463833,,82.0,1.0,45.0,43.0
17,0.12184920736463833,,16.0,70.0,62.0,32.0
18,0.12184920736463833,,38.0,60.0,69.0,36.0
19,0.12184920736463833,,85.0,98.0,47.0,81.0
20,0.12184920736463833,,59.0,102.0,3.0,115.0
21,0.12184920736463833,,44.0,24.0,71.0,19.0
22,0.12184920736463833,,33.0,42.0,53.0,18.0
23,0.12157387374227863,,103.0,105.0,75.0,5.0
24,0.12157387374227863,,119.0,101.0,50.0,65.0
25,0.12157387374227863,,11.0,34.0,114.0,61.0
26,0.12121077564820525,,8.0,48.0,10.0,106.0
27,0.12121077564820525,,2.0,118.0,4.0,74.0
28,0.12121077564820525,,94.0,90.0,23.0,57.0
29,0.12121077564820525,,12.0,37.0,83.0,72.0
30,0.12121077564820525,,109.0,0.0,73.0,97.0
31,0.12121077564820525,,,,,
32,0.12121077564820525,,,,,
33,0.12121077564820525,,,,,
34,0.12121077564820525,,,,,
35,0.12115342100252022,,,,,
36,0.12115342100252022,,,,,
37,0.12115342100252022,,,,,
38,0.12096583891707624,,,,,
39,0.12096583891707624,,,,,
40,0.12096583891707624,,,,,
41,0.12096583891707624,,,,,
42,0.12096583891707624,,,,,
43,0.12096583891707624,,,,,
44,0.12096583891707624,,,,,
45,0.12096583891707624,,,,,
46,0.12096583891707624,,,,,
47,0.12089166286709595,,,,,
48,0.12089166286709595,,,,,
49,0.12089166286709593,,,,,
50,0.12089166286709593,,,,,
51,0.12089166286709593,,,,,
52,0.12083975196430108,,,,,
53,0.12074993350377576,,,,,
54,0.12045406417301491,,,,,
55,0.12045406417301491,,,,,
56,0.12045406417301491,,,,,
57,0.12045406417301491,,,,,
58,0.12045406417301491,,,,,
59,0.12045406417301491,,,,,
60,0.12045406417301491,,,,,
61,0.12027340659702512,,,,,
62,0.12027340659702512,,,,,
63,0.12001432180570047,,,,,
64,0.12001432180570047,,,,,
65,0.12001432180570047,,,,,
66,0.1198695127264228,,,,,
67,0.1198695127264228,,,,,
68,0.1198695127264228,,,,,
69,0.1198695127264228,,,,,
70,0.1198695127264228,,,,,
71,0.1198695127264228,,,,,
72,0.1198695127264228,,,,,
73,0.1198695127264228,,,,,
74,0.1198695127264228,,,,,
75,0.1198695127264228,,,,,
76,0.1198695127264228,,,,,
77,0.1198695127264228,,,,,
78,0.11950246354134728,,,,,
79,0.11950246354134728,,,,,
80,0.11950246354134728,,,,,
81,0.11950246354134728,,,,,
82,0.11950246354134728,,,,,
83,0.11940945076187814,,,,,
84,0.11940945076187814,,,,,
85,0.11940945076187814,,,,,
86,0.11940945076187814,,,,,
87,0.11940945076187814,,,,,
88,0.11940945076187814,,,,,
89,0.11940945076187814,,,,,
90,0.11940945076187814,,,,,
91,0.11940945076187814,,,,,
92,0.11940945076187814,,,,,
93,0.11940945076187814,,,,,
94,0.11940945076187814,,,,,
95,0.11940945076187814,,,,,
96,0.11940945076187814,,,,,
97,0.11940945076187814,,,,,
98,0.11940945076187814,,,,,
99,0.11940945076187814,,,,,
100,0.11940945076187814,,,,,
101,0.11940945076187814,,,,,
102,0.11940945076187814,,,,,
103,0.11940945076187814,,,,,
104,0.11940945076187813,,,,,
105,0.11940945076187813,,,,,
106,0.11940945076187813,,,,,
107,0.11940945076187813,,,,,
108,0.11940945076187813,,,,,
109,0.11940945076187813,,,,,
110,0.11940945076187813,,,,,
111,0.11940945076187813,,,,,
112,0.11940945076187813,,,,,
113,0.11940945076187813,,,,,
114,0.11940945076187813,,,,,
115,0.11940945076187813,,,,,
116,0.11940945076187813,,,,,
117,0.11937172687353081,,,,,
